Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Chadwick Tromp","ATL",6,11,11,2,1,1,0,0,1,2,0,0,3,0,0,0,1,0,0,0.181818181,16953
"Total","Gleyber Torres","NYY",52,91,79,17,11,1,0,5,12,8,10,0,23,1,1,0,1,2,2,0.215189873,16997
"Total","Edmundo Sosa","PHI",39,84,75,23,10,8,3,2,14,10,6,0,15,3,0,0,0,1,1,0.306666666,17022
"Total","Alex Verdugo","NYY",60,113,98,18,14,2,0,2,6,7,11,0,24,1,2,1,4,1,1,0.183673469,17027
"Total","Jose Herrera","ARI",6,9,7,2,1,1,0,0,2,1,1,0,2,0,0,1,0,0,0,0.285714285,17040
"Total","Ramon Laureano","2 Tms",27,43,41,10,5,3,0,2,6,6,0,0,17,1,1,0,1,1,1,0.243902439,17128
"Total","Yoan Moncada","CHW",3,4,3,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0.333333333,17232
"Total","Jorge Mateo","BAL",39,85,80,20,9,7,1,3,13,6,4,0,21,1,0,0,0,5,0,0.25,17273
"Total","Alex Jackson","TBR",18,40,35,3,2,0,0,1,2,4,4,0,14,0,1,0,1,0,0,0.085714285,17276
"Total","Cole Tucker","LAA",10,22,20,1,1,0,0,0,1,0,2,0,8,0,0,0,0,1,0,0.05,17326
"Total","Willi Castro","MIN",52,92,87,31,19,8,1,3,14,10,4,0,19,1,0,0,2,2,2,0.356321839,17338
"Total","Rafael Devers","BOS",69,137,125,27,17,5,2,3,16,16,9,0,50,2,1,0,1,0,0,0.216,17350
"Total","Jose Siri","TBR",42,83,73,18,8,5,0,5,14,13,7,0,27,0,3,0,0,2,0,0.246575342,17452
"Total","Eloy Jimenez","CHW",25,47,43,12,10,2,0,0,1,1,4,0,7,0,0,0,1,2,0,0.279069767,17484
"Total","Taylor Ward","LAA",39,74,67,22,15,4,0,3,10,8,6,0,15,0,1,0,0,0,1,0.328358208,17548
"Total","Alex Bregman","HOU",59,121,114,26,15,6,1,4,13,18,7,0,11,0,0,0,3,0,0,0.228070175,17678
"Total","Kevin Newman","ARI",45,88,82,22,13,7,1,1,15,10,3,1,8,0,1,2,2,1,0,0.268292682,17696
"Total","DJ Stewart","NYM",13,15,12,0,0,0,0,0,2,0,2,0,6,1,0,0,1,1,0,0,17766
"Total","Jakson Reetz","SFG",4,6,6,1,0,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.166666666,17837
"Total","Willie Calhoun","LAA",18,28,24,5,5,0,0,0,3,1,3,0,2,1,0,0,0,0,0,0.208333333,17838
"Total","Tyler Nevin","OAK",33,73,62,13,6,3,0,4,8,8,6,0,12,4,1,0,1,0,0,0.209677419,17893
"Total","Andrew Benintendi","CHW",32,48,45,4,2,1,0,1,3,2,2,0,12,1,0,0,3,1,0,0.088888888,17901
"Total","Brendan Rodgers","COL",35,77,73,24,16,4,0,4,16,8,4,0,15,0,0,0,0,0,0,0.328767123,17907
"Total","Ian Happ","CHC",46,82,75,19,11,4,0,4,11,18,6,0,19,1,0,0,3,0,0,0.253333333,17919
