Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Jorge Mateo","BAL",51,117,107,22,13,6,1,2,15,12,5,0,25,0,3,2,3,7,2,0.205607476,17273
"Total","Alex Jackson","TBR",28,65,60,7,1,5,0,1,8,6,3,0,26,1,0,1,1,0,0,0.116666666,17276
"Total","Cole Tucker","LAA",14,35,30,8,3,4,1,0,2,3,4,0,9,0,1,0,0,2,1,0.266666666,17326
"Total","Willi Castro","MIN",96,307,264,62,38,16,4,4,42,22,29,0,71,13,1,0,3,8,4,0.234848484,17338
"Total","Rafael Devers","BOS",84,241,201,68,31,16,2,19,47,45,36,9,40,0,4,0,9,2,0,0.338308457,17350
"Total","Jose Siri","TBR",78,214,191,35,18,8,0,9,24,22,16,0,79,4,1,2,3,4,6,0.183246073,17452
"Total","Eloy Jimenez","CHW",53,178,163,38,27,6,0,5,16,15,14,1,36,0,1,0,7,1,0,0.233128834,17484
"Total","Taylor Ward","LAA",94,334,288,58,35,14,0,9,32,33,38,0,87,3,5,0,7,3,2,0.201388888,17548
"Total","Alex Bregman","HOU",90,289,260,71,49,13,1,8,37,30,23,0,45,4,2,0,6,2,0,0.273076923,17678
"Total","Kevin Newman","ARI",54,130,121,33,25,7,0,1,14,11,6,0,24,0,1,2,3,2,1,0.272727272,17696
"Total","DJ Stewart","NYM",64,163,131,26,17,4,0,5,13,19,28,0,34,3,1,0,4,0,0,0.198473282,17766
"Total","Jakson Reetz","SFG",3,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,17837
"Total","Willie Calhoun","LAA",59,188,172,45,27,14,0,4,20,16,15,1,29,0,1,0,3,0,1,0.261627906,17838
"Total","Tyler Nevin","OAK",46,116,102,21,16,3,0,2,9,7,12,0,29,1,1,0,3,1,0,0.205882352,17893
"Total","Andrew Benintendi","CHW",75,249,229,50,36,7,0,7,20,26,18,1,42,0,2,0,6,1,2,0.218340611,17901
"Total","Brendan Rodgers","COL",74,242,225,59,44,11,1,3,24,25,15,1,52,1,1,0,7,1,0,0.262222222,17907
"Total","Ian Happ","CHC",88,309,259,58,27,18,1,12,42,39,44,1,90,4,2,0,2,7,2,0.223938223,17919
"Total","Cedric Mullins","BAL",82,227,208,49,32,6,2,9,32,28,15,0,52,1,2,0,1,16,4,0.235576923,17929
"Total","Sam Hilliard","COL",15,38,33,9,5,1,0,3,10,6,4,1,10,0,0,1,0,3,1,0.272727272,17954
"Total","Ty France","SEA",78,236,210,45,29,11,0,5,16,23,17,0,59,8,1,0,10,0,0,0.214285714,17982
"Total","Tyler Stephenson","CIN",74,196,172,42,23,11,1,7,25,22,19,0,39,4,1,0,3,1,0,0.244186046,17988
"Total","David Fletcher","ATL",3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,17992
"Total","Paul DeJong","CHW",85,264,245,58,34,10,0,14,27,33,10,0,81,7,2,0,5,2,1,0.236734693,18015
"Total","Harrison Bader","NYM",79,196,183,55,38,11,0,6,32,26,7,0,43,4,2,0,1,12,7,0.300546448,18030
"Total","Jake Cronenworth","SDP",91,279,248,68,41,13,1,13,39,41,23,0,49,3,1,1,7,1,2,0.274193548,18036
"Total","Dylan Moore","SEA",67,184,154,30,14,8,3,5,20,19,21,0,52,7,1,1,5,8,2,0.194805194,18042
"Total","Sam Haggerty","SEA",2,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,18054
