Season,Name,Tm,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,playerId
"Total","Matt Olson","ATL",142,296,265,69,39,12,2,16,38,46,21,0,80,5,5,0,8,0,0,0.260377358,14344
"Total","Raimel Tapia","3 Tms",17,28,23,2,2,0,0,0,2,1,3,0,11,1,0,1,0,0,0,0.086956521,14350
"Total","Joey Meneses","WSN",126,281,258,65,42,19,1,3,23,32,16,1,56,5,2,0,9,2,0,0.251937984,14366
"Total","Harold Ramirez","2 Tms",94,194,189,66,53,7,1,5,26,20,4,0,32,1,0,0,4,3,1,0.349206349,14387
"Total","Jake Cave","2 Tms",43,51,47,6,5,1,0,0,3,4,3,0,16,0,0,1,0,1,0,0.127659574,14477
"Total","Anthony Santander","BAL",127,265,226,56,30,15,0,11,33,34,33,0,67,3,3,0,5,0,0,0.24778761,14551
"Total","Franmil Reyes","KCR",12,19,18,4,3,0,0,1,2,3,0,0,5,0,1,0,2,0,0,0.222222222,14566
"Total","Franchy Cordero","NYY",6,6,6,2,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0.333333333,14567
"Total","David Bote","CHC",9,19,19,5,3,2,0,0,1,2,0,0,5,0,0,0,0,0,0,0.263157894,14593
"Total","Harold Castro","COL",22,27,26,3,2,1,0,0,2,3,0,0,11,0,1,0,1,0,0,0.115384615,14691
"Total","Manuel Margot","2 Tms",95,189,173,51,38,8,1,4,25,26,12,0,33,0,4,0,2,4,0,0.294797687,14712
"Total","Brett Phillips","LAA",13,17,14,1,1,0,0,0,2,2,3,0,6,0,0,0,0,2,0,0.071428571,14735
"Total","Yu Chang","BOS",14,24,23,4,1,1,0,2,4,4,0,0,7,1,0,0,0,0,0,0.173913043,14773
"Total","Luke Voit","MIL",16,33,33,3,2,1,0,0,0,0,0,0,20,0,0,0,1,0,0,0.09090909,14811
"Total","Kyle Farmer","MIN",103,196,174,46,32,11,1,2,20,22,15,1,40,5,2,0,6,4,5,0.264367816,14813
"Total","Mike Yastrzemski","SFG",72,122,110,23,17,2,1,3,13,16,9,0,35,2,0,1,2,1,1,0.209090909,14854
"Total","Tony Kemp","OAK",41,63,49,15,11,1,2,1,7,5,9,0,7,1,0,4,0,4,1,0.306122448,14894
"Total","Johan Camargo","SFG",2,5,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,14950
"Total","Victor Caratini","2 Tms",42,81,73,20,16,4,0,0,8,6,4,0,14,2,2,0,4,0,1,0.273972602,14968
"Total","Adam Engel","SDP",4,6,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,15082
"Total","Jonathan Davis","MIA",10,19,15,6,4,1,1,0,3,0,2,0,3,1,0,1,0,0,0,0.4,15104
"Total","Ryan McMahon","COL",150,290,261,61,40,12,0,9,32,23,28,0,91,1,0,0,10,0,3,0.233716475,15112
"Total","Hunter Dozier","KCR",13,27,22,5,2,1,0,2,3,2,5,0,6,0,0,0,0,0,0,0.227272727,15117
"Total","Tim Locastro","NYM",19,48,40,7,4,2,0,1,7,1,2,0,17,4,0,2,0,0,0,0.175,15124
"Total","Trey Mancini","CHC",55,108,94,21,13,6,0,2,14,13,11,1,34,1,2,0,2,0,0,0.223404255,15149
"Total","Mitch Garver","2 Tms",81,167,134,39,25,8,0,6,24,26,31,1,30,1,1,0,1,0,0,0.291044776,15161
"Total","Tim Anderson","2 Tms",96,217,207,57,49,7,0,1,27,8,10,0,52,0,0,0,6,7,2,0.275362318,15172
"Total","Jake Bauers","2 Tms",41,54,51,11,6,4,0,1,7,6,2,0,15,1,0,0,1,0,0,0.215686274,15194
"Total","Brandon Dixon","SDP",20,42,38,6,4,1,0,1,5,7,1,0,16,1,2,0,0,0,0,0.157894736,15214
"Total","Adam Frazier","2 Tms",59,87,78,15,11,2,0,2,12,12,7,0,10,2,0,0,1,3,0,0.192307692,15223
"Total","Austin Wynns","4 Tms",27,51,47,13,7,6,0,0,3,5,3,0,18,0,0,1,2,0,0,0.276595744,15271
"Total","Mike Tauchman","CHC",77,108,95,24,17,6,0,1,19,8,11,0,24,1,0,1,1,4,0,0.252631578,15274
"Total","Garrett Cooper","4 Tms",78,152,140,40,27,7,1,5,16,25,10,0,48,1,1,0,1,0,0,0.285714285,15279
"Total","Jeff McNeil","NYM",151,284,256,72,57,11,2,2,29,21,17,0,30,8,0,3,1,6,0,0.28125,15362
"Total","Kris Bryant","COL",41,89,82,15,8,4,0,3,6,7,6,0,18,1,0,0,1,0,0,0.182926829,15429
"Total","Hunter Renfroe","3 Tms",113,209,190,44,28,10,0,6,28,22,15,0,46,2,2,0,4,1,0,0.231578947,15464
"Total","J.P. Crawford","SEA",133,279,243,66,47,13,0,6,41,34,35,0,53,1,0,0,2,2,0,0.271604938,15491
"Total","Jamie Westbrook","BOS",10,17,12,3,1,1,0,1,1,3,2,0,5,1,1,0,0,0,0,0.25,15504
"Total","Amed Rosario","3 Tms",120,275,260,75,47,21,3,4,28,30,13,0,41,1,1,0,11,10,4,0.288461538,15518
"Total","Mike Ford","2 Tms",29,42,37,10,9,1,0,0,3,2,4,0,11,1,0,0,1,0,0,0.27027027,15585
"Total","Aaron Judge","NYY",81,168,132,39,18,5,0,16,25,37,34,3,45,1,1,0,7,2,0,0.295454545,15640
"Total","Dominic Smith","2 Tms",109,200,184,44,36,5,0,3,17,18,16,0,37,0,0,0,4,0,0,0.239130434,15653
"Total","Billy McKinney","NYY",10,10,9,3,3,0,0,0,0,1,1,0,3,0,0,0,0,1,0,0.333333333,15654
"Total","Austin Meadows","DET",1,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,15672
"Total","Reese McGuire","BOS",37,43,37,12,10,1,0,1,8,11,1,0,11,2,1,1,1,1,0,0.324324324,15674
