Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","Zach Eflin","TBR",18,239,4.86627907,65,13,2,34,31,8,5,0,1,38,0.281385281,0.297071129,0.458874458,0.3233720742508956,13774
"Total","Alex Wood","OAK",8,123,4.33333333,29,6,0,17,13,5,15,1,2,22,0.284313725,0.380165289,0.490196078,0.3736898293097814,13781
"Total","Matt Strahm","PHI",39,97,0.98780488,12,8,0,4,3,1,6,1,0,36,0.13483146,0.18556701,0.258426966,0.18981879390776157,13799
"Total","Austin Adams","OAK",46,103,3.32307692,22,5,0,9,8,0,14,0,6,28,0.268292682,0.40776699,0.329268292,0.3426836283461561,13801
"Total","Paul Sewald","ARI",26,54,3.95121951,12,2,0,6,6,3,0,0,2,11,0.23076923,0.259259259,0.442307692,0.3021605246596866,13892
"Total","Chris Flexen","CHW",22,262,4.74725275,59,14,0,36,32,6,27,1,2,43,0.255411255,0.33716475,0.393939393,0.32230041783589586,13896
"Total","Brent Suter","CIN",35,125,3.49411765,32,7,0,11,11,4,9,0,0,23,0.278260869,0.328,0.44347826,0.3344088950157166,13942
"Total","Michael Wacha","KCR",18,213,1.92857143,46,8,0,12,11,5,14,0,3,38,0.235897435,0.295774647,0.353846153,0.28794577060171134,14078
"Total","Kevin Gausman","TOR",19,213,4.76470588,51,10,0,30,27,8,9,0,1,49,0.253731343,0.287735849,0.422885572,0.30721705280384926,14107
"Total","Jose Berrios","TOR",19,213,3.33116883,53,5,0,19,19,7,12,0,5,34,0.273195876,0.330188679,0.407216494,0.324549711256657,14168
"Total","Josh Hader","HOU",40,137,3.93203884,26,2,0,16,15,8,10,0,0,51,0.204724409,0.262773722,0.409448818,0.2920810149533905,14212
"Total","Wandy Peralta","SDP",36,92,4.21875,20,2,0,12,10,4,8,0,1,12,0.243902439,0.315217391,0.414634146,0.31910513665365137,14295
"Total","Frankie Montas","CIN",18,179,3.76744186,38,10,0,18,18,3,15,0,1,39,0.233128834,0.301675977,0.349693251,0.2900130845314964,14309
"Total","Joel Payamps","MIL",40,76,3.78947368,12,3,0,9,8,1,6,1,2,18,0.181818181,0.266666666,0.272727272,0.2404358515868316,14332
"Total","Ty Blach","COL",17,207,7.28571429,71,15,1,34,34,9,12,0,4,25,0.377659574,0.422330097,0.611702127,0.4407387375831604,14361
"Total","Tyler Glasnow","LAD",17,212,3.12804878,37,15,0,19,19,4,13,0,0,74,0.186868686,0.235849056,0.323232323,0.24516443205329608,14374
"Total","Amir Garrett","LAA",6,15,6,2,1,0,2,2,0,4,0,0,6,0.181818181,0.4,0.272727272,0.3267629345258077,14375
"Total","Yunior Marte","PHI",15,45,3.6,10,0,0,4,4,0,4,0,0,12,0.25,0.311111111,0.25,0.2576632155312432,14416
"Total","Jackson Stephens","ATL",3,8,0,2,0,0,0,0,0,0,0,1,0,0.285714285,0.375,0.285714285,0.311022087931633,14420
"Total","Thyago Vieira","3 Tms",27,102,6.53225807,25,3,1,16,15,5,14,0,1,23,0.294117647,0.392156862,0.529411764,0.39387858147714655,14510
"Total","Jose Leclerc","TEX",37,108,2.54117647,14,2,0,8,8,4,8,0,2,42,0.144329896,0.224299065,0.288659793,0.23156918097879284,14524
"Total","Jorge Lopez","2 Tms",34,90,1.6119403,20,5,0,6,4,0,9,0,1,10,0.25,0.333333333,0.3125,0.2941509809758928,14527
"Total","Carlos Estevez","LAA",31,61,3.17647059,10,1,1,7,6,2,1,0,0,17,0.169491525,0.180327868,0.322033898,0.21245812978900847,14542
"Total","Jose Ruiz","PHI",29,80,2.74576271,17,0,0,8,6,2,5,1,1,13,0.236111111,0.2875,0.319444444,0.26391567836833907,14552
"Total","David Bote","CHC",1,2,0,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0.3449888825416565,14593
"Total","Anthony Banda","LAD",25,72,3.30612245,13,0,1,8,6,2,11,5,0,13,0.220338983,0.333333333,0.355932203,0.2788920687205756,14706
"Total","Edwin Diaz","NYM",27,54,2.34782609,8,0,0,4,4,2,3,0,1,17,0.16,0.222222222,0.28,0.22607260280185276,14710
"Total","Paul Blackburn","OAK",7,80,7.78846154,20,5,0,15,15,4,8,0,0,13,0.277777777,0.35,0.513888888,0.37200151607394216,14739
"Total","Wes Parsons","2 Tms",3,12,11.57142859,4,0,0,3,3,2,1,0,0,4,0.363636363,0.416666666,0.909090909,0.547733465830485,14764
"Total","Emilio Pagan","CIN",20,53,2.13157895,15,3,0,4,3,0,2,0,0,13,0.294117647,0.320754716,0.352941176,0.2972829184442196,14771
"Total","Buck Farmer","CIN",35,105,2.7,17,5,0,9,8,2,6,1,4,22,0.184782608,0.259615384,0.304347826,0.2483069653649932,14814
"Total","Michael Lorenzen","TEX",17,205,4.59183673,52,9,1,25,25,10,17,0,3,31,0.281081081,0.351219512,0.502702702,0.36908123260591086,14843
"Total","Joe Mantiply","ARI",41,85,3.72413793,20,6,2,9,8,0,9,4,0,14,0.263157894,0.34117647,0.394736842,0.3060532013575236,14857
"Total","Sam Moll","CIN",28,53,2.13157895,11,2,1,4,3,1,4,1,1,12,0.229166666,0.301886792,0.375,0.29124434292316437,14874
"Total","Jon Gray","TEX",19,189,2.21917808,42,6,1,14,12,1,3,0,0,42,0.228260869,0.239361702,0.288043478,0.23037231412339718,14916
"Total","Ben Lively","CLE",17,205,4.28275862,53,9,2,23,23,9,13,0,2,40,0.278947368,0.331707317,0.489473684,0.3541524767875671,14932
"Total","Chad Kuhl","CHW",9,50,4.5,7,1,0,6,6,1,8,0,0,15,0.166666666,0.3,0.261904761,0.2650649416446686,14975
"Total","Giovanny Gallegos","STL",18,47,4.5,11,4,0,5,5,2,7,0,0,9,0.275,0.382978723,0.525,0.3913895031239124,14986
"Total","Scott Barlow","CLE",45,101,2.86363636,22,5,0,7,7,3,12,1,0,28,0.247191011,0.336633663,0.404494382,0.32422616124153136,14993
"Total","Kyle Finnegan","WSN",40,89,2.04545455,17,1,1,5,5,2,7,1,0,15,0.207317073,0.269662921,0.31707317,0.2567532760175792,15009
"Total","German Marquez","COL",1,12,7.71428573,4,0,0,2,2,1,2,0,0,2,0.4,0.5,0.7,0.5073628475268682,15038
"Total","Tim Mayza","TOR",29,54,14.80645162,20,7,1,19,17,2,4,2,0,8,0.408163265,0.444444444,0.714285714,0.4756179749965668,15042
"Total","Austin Voth","SEA",41,80,4.28571429,11,0,0,12,10,4,5,0,2,23,0.152777777,0.227848101,0.319444444,0.24441008250924606,15047
"Total","Yency Almonte","CHC",15,42,0,3,1,0,1,0,0,7,0,2,13,0.09090909,0.285714285,0.121212121,0.22136311020169938,15068
"Total","Rob Zastryzny","MIL",8,15,2.45454545,3,1,0,1,1,0,0,0,0,3,0.214285714,0.214285714,0.285714285,0.21607330867222377,15094
"Total","Ben Heller","PIT",2,15,47.25000012,7,1,1,8,7,1,1,0,3,2,0.636363636,0.733333333,1.181818181,0.753240704536438,15100
"Total","Jake Bauers","MIL",3,8,0,2,0,0,0,0,0,2,0,0,0,0.333333333,0.5,0.333333333,0.39336778223514557,15194
"Total","Cole Sulser","NYM",4,17,12,5,1,1,4,4,0,3,0,0,3,0.384615384,0.470588235,0.615384615,0.44550495638566856,15256
"Total","Adam Cimber","LAA",25,63,4.2,11,1,0,7,7,1,7,0,4,10,0.215686274,0.354838709,0.294117647,0.30616133347634344,15288
"Total","Austin Pruitt","TEX",4,15,10.80000001,3,0,0,4,4,1,2,0,0,1,0.25,0.333333333,0.5,0.3469907204310099,15290
"Total","Kevin Herget","MIL",5,20,0,1,0,0,0,0,0,2,0,0,5,0.055555555,0.15,0.055555555,0.11317244470119477,15369
"Total","Andrew Heaney","TEX",20,344,3.46987952,70,14,1,37,32,13,20,0,5,81,0.221518987,0.27696793,0.39556962,0.2929237702150039,15423
"Total","Nick Pivetta","BOS",15,182,5.6953125,48,9,2,28,27,10,9,0,0,50,0.279069767,0.313186813,0.529069767,0.3579995884345128,15454
"Total","Marco Gonzales","PIT",5,83,2.7,23,8,0,6,6,0,4,0,0,12,0.294871794,0.325301204,0.397435897,0.3141762441899403,15467
"Total","Hunter Harvey","2 Tms",42,96,3.91304348,19,9,1,12,10,3,8,0,2,28,0.220930232,0.302083333,0.453488372,0.326608390857776,15507
"Total","Tyler Rogers","SFG",51,104,2.07692308,25,6,0,6,6,2,2,0,0,21,0.245098039,0.259615384,0.362745098,0.26984055168353593,15541
"Total","Mark Leiter Jr.","CHC",27,48,7.36363636,8,0,0,10,9,1,5,0,1,18,0.19047619,0.291666666,0.261904761,0.25861356034874916,15551
