Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
Total,Tyler Ferguson,OAK,47,75,0.00,13,1,1,0,0,2,19,2,1,9,.241,.440,.407,,621053
Total,Tony Gonsolin,LAD,7,93,0.00,21,3,0,0,0,4,13,0,3,14,.276,.402,.474,,664062
Total,Justin Slaten,BOS,33,60,0.00,10,0,0,0,0,1,7,1,0,10,.189,.283,.245,,686580
Total,Luke Maile,KCR,1,4,0.00,0,0,0,0,0,0,1,0,0,0,.000,.250,.000,,571912
Total,Ian Anderson,LAA,6,16,0.00,5,0,0,0,0,0,2,0,0,2,.357,.438,.357,,666120
Total,Sonny Gray,STL,32,390,0.00,89,12,4,0,0,10,20,0,2,114,.245,.286,.382,,543243
Total,Garrett Cleavinger,TBR,51,84,0.00,14,0,0,0,0,4,7,0,2,31,.187,.274,.347,,664076
Total,Zach Agnos,COL,28,67,0.00,17,5,1,0,0,2,9,0,0,11,.293,.388,.517,,688642
Total,Justin Garza,NYM,5,16,0.00,3,2,0,0,0,0,0,0,0,1,.188,.188,.313,,621057
Total,Dane Dunning,ATL,12,46,0.00,9,3,0,0,0,0,5,1,0,11,.220,.304,.293,,641540
Total,Scott Kingery,LAA,1,5,0.00,4,1,0,0,0,2,0,0,0,1,.800,.800,2.200,,664068
Total,Reid Detmers,LAA,46,82,0.00,21,1,0,0,0,0,8,1,2,21,.292,.378,.306,,672282
Total,Cole Ragans,KCR,13,71,0.00,14,3,1,0,0,0,8,0,2,20,.233,.343,.317,,666142
Total,Logan Porter,SFG,1,2,0.00,1,0,0,0,0,0,0,0,0,0,.500,.500,.500,,682515
Total,Manuel Rodríguez,TBR,25,42,0.00,8,1,0,0,0,0,2,0,1,8,.216,.268,.243,,655889
Total,Steven Matz,BOS,50,129,0.00,26,3,2,0,0,3,3,0,2,23,.211,.242,.341,,571927
Total,Hunter Brown,HOU,31,377,0.00,65,10,3,0,0,9,40,1,1,115,.195,.281,.323,,686613
Total,Miles Mikolas,STL,31,364,0.00,91,21,2,0,0,17,21,1,3,53,.270,.316,.496,,571945
Total,Robert Garcia,TEX,58,99,0.00,23,4,0,0,0,3,3,0,1,25,.245,.276,.383,,676395
Total,Shelby Miller,MIL,45,93,0.00,11,1,0,0,0,4,11,3,1,30,.139,.247,.304,,571946
