Name,playerId,Season,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA
Justin Slaten,686580,Total,BOS,42,105,0.00,18,4,0,0,0,2,8,0,1,31,.188,.257,.292,
Luke Maile,571912,Total,CIN,3,8,0.00,3,2,1,0,0,0,0,0,0,0,.375,.375,.875,
Zac Kristofak,670219,Total,LAA,1,4,0.00,1,1,0,0,0,0,0,0,0,2,.250,.250,.500,
Sonny Gray,543243,Total,STL,28,315,0.00,72,17,6,0,0,11,22,0,3,87,.248,.308,.462,
Tyler Jay,664079,Total,MIL,3,9,0.00,2,1,0,0,0,0,3,0,0,1,.333,.556,.500,
Matt Mervis,670223,Total,CHC,1,4,0.00,4,1,0,0,0,0,0,0,0,0,1.000,1.000,1.250,
Garrett Cleavinger,664076,Total,TBR,53,90,0.00,20,1,1,0,0,1,10,0,2,26,.256,.356,.333,
Dane Dunning,641540,Total,TEX,25,203,0.00,46,11,1,0,0,10,23,1,3,44,.263,.355,.509,
Anthony Gose,543238,Total,CLE,3,8,0.00,4,2,0,0,0,1,1,0,0,1,.571,.625,1.286,
Reid Detmers,672282,Total,LAA,15,105,0.00,22,5,2,0,0,5,13,0,2,31,.247,.352,.517,
Cole Ragans,666142,Total,KCR,31,168,0.00,42,10,0,0,0,2,14,0,1,34,.276,.341,.382,
Gavin Stone,694813,Total,LAD,25,272,0.00,52,14,0,0,0,6,25,0,1,62,.211,.287,.341,
Manuel Rodríguez,655889,Total,TBR,37,70,0.00,13,1,0,0,0,0,6,0,0,12,.210,.279,.226,
Braxton Garrett,666129,Total,MIA,7,38,0.00,10,2,0,0,0,1,2,0,2,8,.294,.368,.441,
Steven Matz,571927,Total,STL,12,49,0.00,10,4,0,0,0,0,2,0,2,6,.227,.292,.318,
Hunter Brown,686613,Total,HOU,31,379,0.00,71,10,2,0,0,10,37,0,0,103,.209,.285,.338,
